[N/T],t_lib,t_string,t_brace_o,t_brace_c,t_bracket_o,t_bracket_c,t_parenthesis_o,t_parenthesis_c,t_sharp,t_comma,t_dot,t_semi_colon,t_question,t_colon,t_mod_equals,t_mod,t_multiply_equals,t_asterisk,t_plus_plus,t_plus_equals,t_plus,t_sub_sub,t_sub_equals,t_sub,t_divide_equals,t_divide,t_comparation,t_assigment,t_diferent_to,t_not,t_left_desp,t_less_equals,t_less,t_rigth_desp,t_great_equal,t_great,t_and,t_ampersand,t_or,t_bit_or,t_bit_xor_equals,t_bit_xor,t_c1_equals,t_c1,t_kw_bool,t_kw_byte,t_kw_char,t_kw_double,t_kw_float,t_kw_int,t_kw_long,t_kw_short,t_kw_unsigned,t_kw_string,t_kw_void,t_kw_word,t_define,t_include,t_HIGH,t_LOW,t_INPUT_PULLUP,t_INPUT,t_OUTPUT,t_LED_BUILTIN,t_break,t_continue,t_do,t_while,t_else,t_for,t_if,t_return,t_switch,t_case,t_default,t_true,t_false,t_float,t_int,t_char,t_identifier,t_bit_and_equals,t_bit_or_equals,$
PROGRAMA,@,@,@,@,@,@,@,@,"('PROGRAMA', ['L_BLOQUES'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])",@,"('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])",@,@,@,@,@,@,@,@,@,@,"('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])",@,"('PROGRAMA', ['L_BLOQUES'])","('PROGRAMA', ['L_BLOQUES'])",@,"('PROGRAMA', ['L_BLOQUES'])",@,@,@,@,@,@,@,"('PROGRAMA', ['L_BLOQUES'])",@,@,@
L_BLOQUES,@,@,@,@,@,@,@,@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,@,@,@,@,@,@,@,@,@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])","('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,@,@,@,@,@,@,"('L_BLOQUES', ['BLOQUE', 'L_BLOQUESP'])",@,@,@
L_BLOQUESP,@,"('L_BLOQUESP', ['ε'])",@,"('L_BLOQUESP', ['ε'])",@,@,"('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['L_BLOQUES'])",@,@,"('L_BLOQUESP', ['ε'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('L_BLOQUESP', ['ε'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])",@,"('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])",@,@,@,@,@,@,@,@,"('L_BLOQUESP', ['ε'])",@,"('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['ε'])",@,"('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['L_BLOQUES'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['L_BLOQUES'])",@,@,"('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])","('L_BLOQUESP', ['ε'])",@,@,"('L_BLOQUESP', ['ε'])"
BLOQUE,@,@,@,@,@,@,@,@,"('BLOQUE', ['PRE_PRO'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])",@,"('BLOQUE', ['VAR_FUNC'])","('BLOQUE', ['VAR_FUNC'])",@,@,@,@,@,@,@,@,@,@,"('BLOQUE', ['REPETICION'])","('BLOQUE', ['REPETICION'])",@,"('BLOQUE', ['REPETICION'])","('BLOQUE', ['CONTROL'])",@,"('BLOQUE', ['CONTROL'])",@,@,@,@,@,@,@,"('BLOQUE', ['STATEMENT'])",@,@,@
VAR_FUNC,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])",@,"('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])","('VAR_FUNC', ['TIPO', 't_identifier', 'VAR_FUNCP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
VAR,@,@,@,@,"('VAR', ['V_ARRAY'])",@,@,@,@,"('VAR', ['V_NORMAL'])",@,"('VAR', ['V_NORMAL'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('VAR', ['V_NORMAL'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
CONTROL,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('CONTROL', ['IF_ELSE'])",@,"('CONTROL', ['SWITCH'])",@,@,@,@,@,@,@,@,@,@,@
REPETICION,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('REPETICION', ['DO_WHILE'])","('REPETICION', ['WHILE'])",@,"('REPETICION', ['FOR'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@
OPER,@,"('OPER', ['OPER_ALB'])",@,@,@,@,"('OPER', ['t_parenthesis_o', 'OPER_ALB', 't_parenthesis_c'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER', ['OPER_ALB'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER', ['OPER_ALB'])","('OPER', ['OPER_ALB'])","('OPER', ['OPER_ALB'])","('OPER', ['OPER_ALB'])","('OPER', ['OPER_ALB'])","('OPER', ['OPER_ALB'])",@,@,@
FUNC,@,@,@,@,@,@,"('FUNC', ['t_parenthesis_o', 'PARAMS', 't_parenthesis_c', 'FUNCP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
PRE_PRO,@,@,@,@,@,@,@,@,"('PRE_PRO', ['INCLUDE'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
V_NORMAL,@,@,@,@,@,@,@,@,@,"('V_NORMAL', ['t_comma', 'V_NORMALP'])",@,"('V_NORMAL', ['t_semi_colon'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('V_NORMAL', ['V_NORMALASIG', 'V_NORMALPP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
V_ARRAY,@,@,@,@,"('V_ARRAY', ['V_ARRAYFORM', 'V_ARRAYP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
TIPO,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('TIPO', ['OTRO'])","('TIPO', ['t_kw_byte'])","('TIPO', ['OTRO'])","('TIPO', ['OTRO'])","('TIPO', ['OTRO'])","('TIPO', ['OTRO'])","('TIPO', ['t_kw_long', 'OTRO'])","('TIPO', ['OTRO'])","('TIPO', ['t_kw_unsigned', 'OTRO'])",@,"('TIPO', ['OTRO'])","('TIPO', ['t_kw_word'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
ASIGNACION,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('ASIGNACION', ['t_identifier', 'ASIGN_ID'])",@,@,@
VALOR,@,"('VALOR', ['t_string'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('VALOR', ['t_true'])","('VALOR', ['t_false'])","('VALOR', ['t_float'])","('VALOR', ['t_int'])","('VALOR', ['t_char'])",@,@,@,@
FUNC_CALL,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('FUNC_CALL', ['t_identifier', 't_parenthesis_o', 'PARAMS', 't_parenthesis_c'])",@,@,@
OPER_A,@,"('OPER_A', ['VAL_ORID', 'OPER_AP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_A', ['VAL_ORID', 'OPER_AP'])","('OPER_A', ['VAL_ORID', 'OPER_AP'])","('OPER_A', ['VAL_ORID', 'OPER_AP'])","('OPER_A', ['VAL_ORID', 'OPER_AP'])","('OPER_A', ['VAL_ORID', 'OPER_AP'])","('OPER_A', ['VAL_ORID', 'OPER_AP'])",@,@,@
OPER_ALB,@,"('OPER_ALB', ['OPER_B'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_ALB', ['OPER_L'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_ALB', ['OPER_B'])","('OPER_ALB', ['OPER_B'])","('OPER_ALB', ['OPER_B'])","('OPER_ALB', ['OPER_B'])","('OPER_ALB', ['OPER_B'])","('OPER_ALB', ['OPER_B'])",@,@,@
ASIGN_ID,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('ASIGN_ID', ['COMP_ARIT'])",@,@,"('ASIGN_ID', ['COMP_ARIT'])",@,@,@,@,@,"('ASIGN_ID', ['ASIGN'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
ASIGN,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('ASIGN', ['t_assigment', 'VALOR_ASIG'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
OPER_APP,@,"('OPER_APP', ['VAL_ORID'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_APP', ['VAL_ORID'])","('OPER_APP', ['VAL_ORID'])","('OPER_APP', ['VAL_ORID'])","('OPER_APP', ['VAL_ORID'])","('OPER_APP', ['VAL_ORID'])","('OPER_APP', ['VAL_ORID'])",@,@,@
OPER_L,@,"('OPER_L', ['VAL_ORID', 'OPER_LP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_L', ['t_not', 'OPER_L'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_L', ['VAL_ORID', 'OPER_LP'])","('OPER_L', ['VAL_ORID', 'OPER_LP'])","('OPER_L', ['VAL_ORID', 'OPER_LP'])","('OPER_L', ['VAL_ORID', 'OPER_LP'])","('OPER_L', ['VAL_ORID', 'OPER_LP'])","('OPER_L', ['VAL_ORID', 'OPER_LP'])",@,@,@
OPER_B,@,"('OPER_B', ['VAL_ORID', 'OPER_BP'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('OPER_B', ['VAL_ORID', 'OPER_BP'])","('OPER_B', ['VAL_ORID', 'OPER_BP'])","('OPER_B', ['VAL_ORID', 'OPER_BP'])","('OPER_B', ['VAL_ORID', 'OPER_BP'])","('OPER_B', ['VAL_ORID', 'OPER_BP'])","('OPER_B', ['VAL_ORID', 'OPER_BP'])",@,@,@
ARIT_OPER,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('ARIT_OPER', ['t_mod'])",@,"('ARIT_OPER', ['t_asterisk'])",@,@,"('ARIT_OPER', ['t_plus'])",@,@,"('ARIT_OPER', ['t_sub'])",@,"('ARIT_OPER', ['t_divide'])",@,"('ARIT_OPER', ['t_assigment'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
LOGIC_OPER,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('LOGIC_OPER', ['t_not'])",@,@,@,@,@,@,"('LOGIC_OPER', ['t_and'])",@,"('LOGIC_OPER', ['t_or'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
COMPOUND_OPER,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('COMPOUND_OPER', ['t_mod_equals'])",@,"('COMPOUND_OPER', ['t_multiply_equals'])",@,@,"('COMPOUND_OPER', ['t_plus_equals'])",@,@,"('COMPOUND_OPER', ['t_sub_equals'])",@,"('COMPOUND_OPER', ['t_divide_equals'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('COMPOUND_OPER', ['t_bit_xor_equals'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('COMPOUND_OPER', ['t_bit_and_equals'])","('COMPOUND_OPER', ['t_bit_or_equals'])",@
COMP_ARIT,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('COMP_ARIT', ['t_plus_plus'])",@,@,"('COMP_ARIT', ['t_sub_sub'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
IF,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('IF', ['t_if', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 'BLOCKS'])",@,@,@,@,@,@,@,@,@,@,@,@,@
FUNC_CALL_NIDENT,@,@,@,@,@,@,"('FUNC_CALL_NIDENT', ['t_parenthesis_o', 'PARAMS', 't_parenthesis_c'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
FUNC_IDENT,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@
IF_ELIF,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('IF_ELIF', ['IF', 't_if', 't_else ', 't_parenthesis_o', 'OPER_L', 't_parenthesis_c', 'BLOCKS'])",@,@,@,@,@,@,@,@,@,@,@,@,@
IF_ELSE,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('IF_ELSE', ['IF_ELIF', 't_else', 't_parenthesis_o', 'L_BLOQUES', 't_parenthesis_c'])",@,@,@,@,@,@,@,@,@,@,@,@,@
SWITCH,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('SWITCH', ['t_switch', 't_parenthesis_o', 'VALOR_ASIG', 't_parenthesis_c', 't_brace_o', 'N_CASE', 'DEFAULT', 't_brace_c'])",@,@,@,@,@,@,@,@,@,@,@
N_CASE,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('N_CASE', ['CASE', 'N_CASEP'])",@,@,@,@,@,@,@,@,@,@
CASE,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('CASE', ['t_case', 'VALOR_ASIG', 't_colon', 'L_BLOQUES', 't_break', 't_semi_colon'])",@,@,@,@,@,@,@,@,@,@
DEFAULT,@,"('DEFAULT', ['ε'])",@,"('DEFAULT', ['ε'])",@,@,"('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,@,"('DEFAULT', ['ε'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('DEFAULT', ['ε'])",@,@,@,@,@,@,@,@,@,@,@,@,@,@,"('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,"('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,@,@,@,@,@,@,@,"('DEFAULT', ['ε'])",@,"('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,"('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,"('DEFAULT', ['t_default', 't_colon', 'L_BLOQUES'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])","('DEFAULT', ['ε'])",@,@,"('DEFAULT', ['ε'])"
