[N/T]t_lib , t_string , t_brace_o , t_brace_c , t_bracket_o , t_bracket_c , t_parenthesis_o , t_parenthesis_c , t_sharp , t_comma , t_dot , t_semi_colon , t_question , t_colon , t_mod_equals , t_mod , t_multiply_equals , t_asterisk , t_plus_plus , t_plus_equals , t_plus , t_sub_sub , t_great_equals , t_sub_equals , t_sub , t_divide_equals , t_divide , t_comparation , t_assigment , t_diferent_to , t_not , t_left_desp , t_less_equals , t_less , t_rigth_desp , t_great , t_and , t_ampersand , t_or , t_bit_or , t_bit_xor_equals , t_bit_xor , t_c1_equals , t_c1 , t_kw_bool , t_kw_byte , t_kw_char , t_kw_double , t_kw_float , t_kw_int , t_kw_long , t_kw_short , t_kw_unsigned , t_kw_string , t_kw_void , t_kw_word , t_define , t_include , t_HIGH , t_LOW , t_INPUT_PULLUP , t_INPUT , t_OUTPUT , t_LED_BUILTIN , t_break , t_continue , t_do , t_while , t_else , t_for , t_if , t_return , t_switch , t_case , t_default , t_true , t_false , t_float , t_int , t_char , t_identifier , t_bit_and_equals , t_bit_or_equals , t_const , t_volatile , t_static , $
OPER_AP,@, @, @, @, @, @, @,  OPER_AP -> e ,@, @, @,  OPER_AP -> e ,@, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@,  OPER_AP -> ARIT_OPER OPER_AS ,@, @, @, @, @, @, @, @, @, @, @,  OPER_AP -> COMPOUND_OPER OPER_AS ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS ,@, @, @, @, 
OPER_LP,@, @,  OPER_LP -> e , OPER_LP -> e ,@, @, @,  OPER_LP -> e , OPER_LP -> e ,@, @,  OPER_LP -> e , OPER_LP -> t_question VAL_ORID t_colon VAL_ORID ,@, @, @, @, @, @, @, @, @,  OPER_LP -> COMP_OPER OPER_LS ,@, @, @, @,  OPER_LP -> COMP_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> LOGIC_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> COMP_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> LOGIC_OPER OPER_LS ,@,  OPER_LP -> LOGIC_OPER OPER_LS ,@, @, @, @, @,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e ,@, @, @, @, @, @, @, @,  OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,@, @, @, @, @, @, @,  OPER_LP -> e ,@, @,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,
OPER_BP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOU,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOUP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOUPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
PARAMS,@,  PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, @, @, @, @, @, @,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, 
OPER_LS,@,  OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, @, @, @, @, @, @,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, 
PARAMSP,@, @,  PARAMSP -> e ,@, @, @, @,  PARAMSP -> e ,@,  PARAMSP -> t_comma PARAMS ,@,  PARAMSP -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
BLOCKS,@, @,  BLOCKS -> t_brace_o L_BLOQUES t_brace_c ,@, @, @, @, @,  BLOCKS -> BLOQUE ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@, @, @, @, @, @, @, @, @, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE ,@, @, @, @, @, @, @,  BLOCKS -> BLOQUE ,@, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@, 
N_CASEP,@, @, @,  N_CASEP -> e ,@, @, @, @,  N_CASEP -> e ,@, @,  N_CASEP -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e ,@, @, @, @, @, @, @, @,  N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> N_CASE , N_CASEP -> e ,@, @, @, @, @,  N_CASEP -> e ,@, @,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e ,
DO_WHILEP,@, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, @, @, @, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, @, @, @, @, @, @, @, @, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, @, @, @, @, @, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, @,  DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon , DO_WHILEP -> BLOCKS t_while t_parenthesis_o OPER_L t_parenthesis_c t_semi_colon ,@, 
FOR_CONDP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FUNCP,@, @,  FUNCP -> t_brace_o L_BLOQUES FUNCPDEC ,@, @, @, @, @, @, @, @,  FUNCP -> t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
RETURNP,@,  RETURNP -> VALOR_ASIG t_semi_colon ,@, @, @, @, @, @, @, @, @,  RETURNP -> t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon ,@,  RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @,  RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon , RETURNP -> VALOR_ASIG t_semi_colon ,@, @, @, @, @, @, 
VALOR_ASIG,@,  VALOR_ASIG -> VAL_ORID VALASIG_TYPE ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE ,@,  VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE ,@, @, @, @, @, @, @, @, @, @, @, @,  VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE , VALOR_ASIG -> VAL_ORID VALASIG_TYPE ,@, @, @, @, @, @, 
COMP_OPER,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  COMP_OPER -> t_great_equals ,@, @, @, @,  COMP_OPER -> t_comparation ,@,  COMP_OPER -> t_diferent_to ,@, @,  COMP_OPER -> t_less_equals , COMP_OPER -> t_less ,@,  COMP_OPER -> t_great ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
BITE_OPER,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  BITE_OPER -> t_left_desp ,@, @,  BITE_OPER -> t_rigth_desp ,@, @,  BITE_OPER -> t_ampersand ,@,  BITE_OPER -> t_bit_or ,@,  BITE_OPER -> t_bit_xor ,@,  BITE_OPER -> t_c1 ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
V_NORMALASIG,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  V_NORMALASIG -> t_assigment VALOR_ASIG ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
V_ARRAYFORM,@, @, @, @,  V_ARRAYFORM -> t_bracket_o t_int t_bracket_c ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
VAR_FUNCP,@, @, @, @,  VAR_FUNCP -> VAR ,@,  VAR_FUNCP -> FUNC ,@, @,  VAR_FUNCP -> VAR , VAR_FUNCP -> FUNC , VAR_FUNCP -> VAR ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  VAR_FUNCP -> VAR ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FUNCPDEC,@, @, @,  FUNCPDEC -> FUNCNORET ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  FUNCPDEC -> FUNCRET ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FUNCRET,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  FUNCRET -> RETURN t_brace_c ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FUNCNORET,@, @, @,  FUNCNORET -> t_brace_c ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
PRE_PRODEC,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  PRE_PRODEC -> DEFINE , PRE_PRODEC -> INCLUDE ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
VALASIG_TYPE,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@, @, @,  VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE ,@,  VALASIG_TYPE -> OPER_TYPE ,@, @, @,  VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@, @,  VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> e ,@,  VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> OPER_TYPE , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e , VALASIG_TYPE -> e ,
SCOPE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  SCOPE -> t_const , SCOPE -> t_volatile , SCOPE -> t_static ,@, 
TIPOV,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO , TIPOV -> TIPO ,@,  TIPOV -> TIPO , TIPOV -> TIPO ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  TIPOV -> SCOPE TIPO , TIPOV -> SCOPE TIPO , TIPOV -> SCOPE TIPO ,@, 
TERNARIO,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
STATEMENTDECPP,@,  STATEMENTDECPP -> VAL_ORID t_semi_colon ,@, @, @, @,  STATEMENTDECPP -> OPER t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon ,@,  STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @,  STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon , STATEMENTDECPP -> VAL_ORID t_semi_colon ,@, @, @, @, @, @, 
